Applicant_ID,Age,Income,Employment_Type,Credit_Score,Loan_Amount,Loan_Term,Existing_EMI,Default_History,Loan_Status,Monthly_Income,Estimated_Monthly_Payment,Debt_to_Income_Ratio,Loan_to_Income_Ratio,EMI_Burden_Ratio,Credit_Score_Bin,Age_Group
APP_00032,40,74274.0,Salaried,516.0,12127,180,34.0,Yes,Non-Default,6189.5,115.89,0.0242,0.1633,0.0055,Poor,36-45
APP_00033,23,78423.0,Salaried,601.0,27323,360,694.0,No,Non-Default,6535.25,200.49,0.1369,0.3484,0.1062,Fair,18-25
APP_00034,50,5000.0,Unemployed,403.0,74416,84,561.0,No,Default,416.67,1159.86,4.13,14.8832,1.3464,Very Poor,46-55
APP_00035,36,8966.0,Unemployed,475.0,29444,84,64.0,Yes,Non-Default,747.17,458.92,0.6999,3.284,0.0857,Very Poor,36-45
APP_00036,49,55985.0,Government,515.0,93849,48,377.0,Yes,Non-Default,4665.42,2291.13,0.5719,1.6763,0.0808,Poor,46-55
APP_00037,33,47842.0,Salaried,507.0,25264,24,82.0,No,Non-Default,3986.83,1142.62,0.3072,0.5281,0.0206,Poor,26-35
APP_00038,40,59949.0,Salaried,610.0,64568,24,241.0,Yes,Non-Default,4995.75,2920.24,0.6328,1.077,0.0482,Fair,36-45
APP_00039,40,35811.0,Freelancer,556.0,8724,84,763.0,No,Non-Default,2984.25,135.97,0.3012,0.2436,0.2557,Poor,36-45
APP_00040,37,127400.0,Self-Employed,679.0,30298,24,129.0,Yes,Default,10616.67,1370.3,0.1412,0.2378,0.0122,Fair,36-45
APP_00041,33,66183.0,Salaried,565.0,26644,240,14.0,Yes,Non-Default,5515.25,222.86,0.0429,0.4026,0.0025,Poor,26-35
APP_00042,41,128100.0,Self-Employed,595.0,11869,120,107.0,No,Non-Default,10675.0,144.0,0.0235,0.0927,0.01,Poor,36-45
APP_00043,28,68580.0,Salaried,555.0,88391,36,255.0,No,Non-Default,5715.0,2769.85,0.5293,1.2889,0.0446,Poor,26-35
APP_00044,25,48823.0,Government,543.0,21762,36,138.0,No,Non-Default,4068.58,681.94,0.2015,0.4457,0.0339,Poor,18-25
APP_00045,50,90552.0,Salaried,584.0,20037,120,640.0,No,Non-Default,7546.0,243.1,0.117,0.2213,0.0848,Poor,46-55
APP_00046,45,48821.0,Freelancer,518.0,102851,180,346.0,No,Non-Default,4068.42,982.9,0.3266,2.1067,0.085,Poor,36-45
APP_00047,38,84236.0,Salaried,545.0,41322,180,137.0,No,Non-Default,7019.67,394.89,0.0758,0.4906,0.0195,Poor,36-45
APP_00048,54,42608.0,Self-Employed,518.0,67767,84,156.0,No,Non-Default,3550.67,1056.23,0.3414,1.5905,0.0439,Poor,46-55
APP_00049,35,116356.0,Self-Employed,586.0,9300,36,410.0,No,Non-Default,9696.33,291.43,0.0723,0.0799,0.0423,Poor,26-35
APP_00050,51,86377.0,Salaried,603.0,19171,180,698.0,No,Non-Default,7198.08,183.21,0.1224,0.2219,0.097,Fair,46-55
APP_00051,39,14318.0,Unemployed,362.0,192742,120,1601.0,No,Default,1193.17,2338.49,3.3017,13.4615,1.3418,Very Poor,36-45
APP_00052,27,30475.0,Freelancer,555.0,71914,180,178.0,No,Non-Default,2539.58,687.25,0.3407,2.3598,0.0701,Poor,26-35
APP_00053,56,11631.0,Unemployed,394.0,15387,36,1209.0,No,Default,969.25,482.17,1.7448,1.3229,1.2474,Very Poor,56+
APP_00054,47,65335.0,Government,484.0,43478,84,100.0,No,Non-Default,5444.58,677.66,0.1428,0.6655,0.0184,Very Poor,46-55
APP_00055,36,88209.0,Self-Employed,591.0,16374,360,20.0,No,Non-Default,7350.75,120.15,0.0191,0.1856,0.0027,Poor,36-45
APP_00056,45,16808.0,Unemployed,494.0,110754,36,786.0,No,Default,1400.67,3470.63,3.039,6.5894,0.5612,Very Poor,36-45
APP_00057,33,85244.0,Salaried,671.0,5908,120,325.0,No,Non-Default,7103.67,71.68,0.0558,0.0693,0.0458,Fair,26-35
APP_00058,46,52031.0,Salaried,533.0,45262,36,39.0,No,Non-Default,4335.92,1418.35,0.3361,0.8699,0.009,Poor,46-55
APP_00059,22,41898.0,Salaried,501.0,44722,48,36.0,Yes,Default,3491.5,1091.79,0.323,1.0674,0.0103,Poor,18-25
APP_00060,27,64249.0,Salaried,546.0,14911,60,6.0,No,Non-Default,5354.08,302.34,0.0576,0.2321,0.0011,Poor,26-35
APP_00061,47,58405.0,Salaried,607.0,29186,240,182.0,No,Non-Default,4867.08,244.12,0.0876,0.4997,0.0374,Fair,46-55
APP_00062,35,80716.0,Salaried,681.0,49042,12,664.0,No,Non-Default,6726.33,4266.09,0.733,0.6076,0.0987,Fair,26-35
APP_00063,40,45106.0,Government,499.0,8756,360,547.0,Yes,Default,3758.83,64.25,0.1626,0.1941,0.1455,Very Poor,36-45
APP_00064,24,85407.0,Salaried,594.0,13047,120,4004.0,No,Non-Default,7117.25,158.3,0.5848,0.1528,0.5626,Poor,18-25
APP_00065,56,92072.0,Salaried,573.0,32077,48,450.0,Yes,Non-Default,7672.67,783.09,0.1607,0.3484,0.0586,Poor,56+
APP_00066,49,80010.0,Self-Employed,554.0,18649,48,58.0,No,Non-Default,6667.5,455.28,0.077,0.2331,0.0087,Poor,46-55
APP_00067,35,66214.0,Salaried,633.0,25071,60,1919.0,No,Non-Default,5517.83,508.35,0.4399,0.3786,0.3478,Fair,26-35
APP_00068,33,48789.0,Government,467.0,35736,180,590.0,No,Non-Default,4065.75,341.51,0.2291,0.7325,0.1451,Very Poor,26-35
APP_00069,48,54146.0,Salaried,405.0,17529,12,234.0,No,Non-Default,4512.17,1524.82,0.3898,0.3237,0.0519,Very Poor,46-55
APP_00070,57,8733.0,Unemployed,471.0,35551,60,141.0,No,Default,727.75,720.85,1.1843,4.0709,0.1937,Very Poor,56+
APP_00071,47,70972.0,Freelancer,606.0,46092,24,125.0,No,Non-Default,5914.33,2084.62,0.3736,0.6494,0.0211,Fair,46-55
APP_00072,59,63562.0,Salaried,546.0,67717,24,1564.0,No,Non-Default,5296.83,3062.66,0.8735,1.0654,0.2953,Poor,56+
APP_00073,28,38556.0,Salaried,524.0,13404,84,271.0,Yes,Non-Default,3213.0,208.92,0.1494,0.3477,0.0843,Poor,26-35
APP_00074,29,61064.0,Government,569.0,21966,36,346.0,Yes,Non-Default,5088.67,688.33,0.2033,0.3597,0.068,Poor,26-35
APP_00075,26,59873.0,Freelancer,535.0,58153,12,906.0,Yes,Non-Default,4989.42,5058.64,1.1955,0.9713,0.1816,Poor,26-35
APP_00076,42,44542.0,Freelancer,535.0,11095,36,1660.0,No,Non-Default,3711.83,347.68,0.5409,0.2491,0.4472,Poor,36-45
APP_00077,39,71445.0,Freelancer,573.0,39535,36,2.0,No,Default,5953.75,1238.88,0.2084,0.5534,0.0003,Poor,36-45
APP_00078,36,80550.0,Salaried,462.0,37141,120,2314.0,No,Non-Default,6712.5,450.62,0.4119,0.4611,0.3447,Very Poor,36-45
APP_00079,46,44017.0,Salaried,512.0,5000,84,39.0,No,Non-Default,3668.08,77.93,0.0319,0.1136,0.0106,Poor,46-55
APP_00080,50,53971.0,Salaried,442.0,24453,120,906.0,No,Non-Default,4497.58,296.68,0.2674,0.4531,0.2014,Very Poor,46-55
APP_00081,22,60714.0,Government,529.0,47317,48,1501.0,No,Non-Default,5059.5,1155.15,0.525,0.7793,0.2967,Poor,18-25
APP_00082,32,21683.0,Self-Employed,449.0,30654,24,411.0,No,Non-Default,1806.92,1386.4,0.9947,1.4137,0.2275,Very Poor,26-35
APP_00083,46,71727.0,Salaried,599.0,24849,180,401.0,Yes,Non-Default,5977.25,237.47,0.1068,0.3464,0.0671,Poor,46-55
APP_00084,33,29768.0,Salaried,498.0,41148,36,552.0,Yes,Non-Default,2480.67,1289.43,0.7423,1.3823,0.2225,Very Poor,26-35
APP_00085,30,85468.0,Salaried,591.0,80106,48,217.0,No,Non-Default,7122.33,1955.62,0.305,0.9373,0.0305,Poor,26-35
APP_00086,48,83145.0,Salaried,554.0,55830,36,90.0,Yes,Non-Default,6928.75,1749.51,0.2655,0.6715,0.013,Poor,46-55
APP_00087,25,54086.0,Freelancer,574.0,19837,48,34.0,No,Non-Default,4507.17,484.28,0.115,0.3668,0.0075,Poor,18-25
APP_00088,34,56344.0,Self-Employed,445.0,11302,84,1064.0,No,Non-Default,4695.33,176.16,0.2641,0.2006,0.2266,Very Poor,26-35
APP_00089,41,60042.0,Government,485.0,55026,36,396.0,Yes,Non-Default,5003.5,1724.31,0.4238,0.9165,0.0791,Very Poor,36-45
APP_00090,32,62031.0,Self-Employed,597.0,14154,60,592.0,No,Non-Default,5169.25,286.99,0.17,0.2282,0.1145,Poor,26-35
APP_00091,45,44383.0,Salaried,485.0,23803,84,201.0,No,Non-Default,3698.58,371.0,0.1547,0.5363,0.0543,Very Poor,36-45
APP_00092,32,38902.0,Freelancer,392.0,42648,180,822.0,Yes,Non-Default,3241.83,407.57,0.3793,1.0963,0.2536,Very Poor,26-35
APP_00093,52,57568.0,Freelancer,599.0,90873,48,215.0,Yes,Non-Default,4797.33,2218.48,0.5073,1.5785,0.0448,Poor,46-55
APP_00094,36,81533.0,Self-Employed,615.0,101584,48,15.0,No,Non-Default,6794.42,2479.96,0.3672,1.2459,0.0022,Fair,36-45
APP_00095,44,71112.0,Freelancer,582.0,38122,48,205.0,No,Non-Default,5926.0,930.67,0.1916,0.5361,0.0346,Poor,36-45
APP_00096,45,106802.0,Self-Employed,603.0,24158,60,949.0,No,Non-Default,8900.17,489.84,0.1617,0.2262,0.1066,Fair,36-45
APP_00097,31,103054.0,Self-Employed,676.0,13897,48,1043.0,No,Non-Default,8587.83,339.27,0.161,0.1349,0.1215,Fair,26-35
APP_00098,22,23687.0,Self-Employed,540.0,174016,36,1364.0,No,Non-Default,1973.92,5453.03,3.4535,7.3465,0.691,Poor,18-25
APP_00099,41,59296.0,Salaried,606.0,28798,48,346.0,No,Non-Default,4941.33,703.04,0.2123,0.4857,0.07,Fair,36-45
APP_00100,38,43712.0,Salaried,541.0,62458,120,1568.0,No,Non-Default,3642.67,757.79,0.6385,1.4289,0.4305,Poor,36-45
APP_00101,43,61339.0,Salaried,538.0,42507,36,345.0,Yes,Non-Default,5111.58,1332.01,0.3281,0.693,0.0675,Poor,36-45
APP_00102,35,55735.0,Self-Employed,504.0,24428,180,83.0,No,Non-Default,4644.58,233.45,0.0681,0.4383,0.0179,Poor,26-35
APP_00103,33,57447.0,Salaried,463.0,23614,48,348.0,Yes,Non-Default,4787.25,576.49,0.1931,0.4111,0.0727,Very Poor,26-35
APP_00104,58,117140.0,Self-Employed,638.0,12010,84,1014.0,Yes,Non-Default,9761.67,187.19,0.1231,0.1025,0.1039,Fair,56+
APP_00105,23,63702.0,Government,564.0,89137,360,770.0,No,Non-Default,5308.5,654.06,0.2683,1.3993,0.1451,Poor,18-25
APP_00106,45,85142.0,Salaried,549.0,32977,360,284.0,No,Non-Default,7095.17,241.97,0.0741,0.3873,0.04,Poor,36-45
APP_00107,32,23976.0,Self-Employed,508.0,113966,60,119.0,No,Non-Default,1998.0,2310.82,1.2161,4.7533,0.0596,Poor,26-35
APP_00108,34,46043.0,Freelancer,493.0,25361,24,435.0,No,Non-Default,3836.92,1147.01,0.4123,0.5508,0.1134,Very Poor,26-35
APP_00109,34,84334.0,Salaried,609.0,28612,240,1338.0,No,Non-Default,7027.83,239.32,0.2244,0.3393,0.1904,Fair,26-35
APP_00110,29,95125.0,Salaried,537.0,14667,24,97.0,No,Non-Default,7927.08,663.35,0.0959,0.1542,0.0122,Poor,26-35
APP_00111,43,34038.0,Salaried,439.0,28306,240,877.0,No,Non-Default,2836.5,236.76,0.3927,0.8316,0.3092,Very Poor,36-45
APP_00112,51,57970.0,Salaried,515.0,13465,120,79.0,No,Non-Default,4830.83,163.37,0.0502,0.2323,0.0164,Poor,46-55
APP_00113,42,20273.0,Unemployed,513.0,50117,240,1260.0,Yes,Non-Default,1689.42,419.2,0.994,2.4721,0.7458,Poor,36-45
APP_00114,39,55692.0,Government,466.0,39586,84,590.0,No,Non-Default,4641.0,617.0,0.2601,0.7108,0.1271,Very Poor,36-45
APP_00115,28,48135.0,Self-Employed,565.0,118172,360,57.0,No,Non-Default,4011.25,867.1,0.2304,2.455,0.0142,Poor,26-35
APP_00116,43,39400.0,Government,418.0,11313,60,113.0,Yes,Non-Default,3283.33,229.39,0.1043,0.2871,0.0344,Very Poor,36-45
APP_00117,59,46615.0,Government,498.0,96067,48,1308.0,No,Non-Default,3884.58,2345.28,0.9405,2.0609,0.3367,Very Poor,56+
APP_00118,34,31221.0,Salaried,417.0,16601,48,354.0,No,Non-Default,2601.75,405.28,0.2918,0.5317,0.1361,Very Poor,26-35
APP_00119,34,58701.0,Government,397.0,47828,48,302.0,No,Non-Default,4891.75,1167.62,0.3004,0.8148,0.0617,Very Poor,26-35
APP_00120,32,111370.0,Self-Employed,623.0,14525,60,30.0,No,Non-Default,9280.83,294.51,0.035,0.1304,0.0032,Fair,26-35
APP_00121,33,42868.0,Government,496.0,42711,240,43.0,No,Non-Default,3572.33,357.25,0.112,0.9963,0.012,Very Poor,26-35
APP_00122,22,61092.0,Government,462.0,5000,84,588.0,Yes,Non-Default,5091.0,77.93,0.1308,0.0818,0.1155,Very Poor,18-25
APP_00123,42,81905.0,Salaried,536.0,21237,120,750.0,Yes,Non-Default,6825.42,257.66,0.1476,0.2593,0.1099,Poor,36-45
APP_00124,29,59949.0,Salaried,559.0,39532,48,1008.0,No,Non-Default,4995.75,965.09,0.395,0.6594,0.2018,Poor,26-35
APP_00125,22,32786.0,Salaried,472.0,147909,360,349.0,No,Non-Default,2732.17,1085.3,0.525,4.5113,0.1277,Very Poor,18-25
APP_00126,45,93517.0,Self-Employed,569.0,6618,48,199.0,No,Non-Default,7793.08,161.56,0.0463,0.0708,0.0255,Poor,36-45
APP_00127,27,57344.0,Government,506.0,36249,36,491.0,No,Non-Default,4778.67,1135.91,0.3405,0.6321,0.1027,Poor,26-35
APP_00128,34,56121.0,Government,495.0,23980,120,346.0,No,Non-Default,4676.75,290.94,0.1362,0.4273,0.074,Very Poor,26-35
APP_00129,52,54063.0,Salaried,491.0,7841,180,17.0,Yes,Non-Default,4505.25,74.93,0.0204,0.145,0.0038,Very Poor,46-55
APP_00130,23,83037.0,Self-Employed,532.0,14766,48,1396.0,No,Non-Default,6919.75,360.48,0.2538,0.1778,0.2017,Poor,18-25
APP_00131,22,97843.0,Self-Employed,547.0,24912,60,514.0,No,Non-Default,8153.58,505.13,0.125,0.2546,0.063,Poor,18-25
APP_00132,40,112812.0,Salaried,556.0,52768,60,3.0,No,Non-Default,9401.0,1069.94,0.1141,0.4678,0.0003,Poor,36-45
APP_00133,49,67246.0,Salaried,521.0,38961,48,1604.0,Yes,Non-Default,5603.83,951.15,0.456,0.5794,0.2862,Poor,46-55
APP_00134,22,95222.0,Salaried,549.0,12708,180,1525.0,Yes,Non-Default,7935.17,121.44,0.2075,0.1335,0.1922,Poor,18-25
APP_00135,42,14862.0,Unemployed,410.0,8373,120,1458.0,Yes,Non-Default,1238.5,101.59,1.2593,0.5634,1.1772,Very Poor,36-45
APP_00136,43,63009.0,Salaried,572.0,50722,60,1098.0,No,Non-Default,5250.75,1028.46,0.405,0.805,0.2091,Poor,36-45
APP_00137,22,85199.0,Self-Employed,628.0,31063,60,102.0,No,Non-Default,7099.92,629.85,0.1031,0.3646,0.0144,Fair,18-25
APP_00138,45,23008.0,Freelancer,476.0,131813,36,1889.0,No,Non-Default,1917.33,4130.54,3.1395,5.729,0.9852,Very Poor,36-45
APP_00139,46,71117.0,Salaried,549.0,27390,84,717.0,No,Default,5926.42,426.91,0.193,0.3851,0.121,Poor,46-55
APP_00140,34,5000.0,Unemployed,415.0,90634,240,511.0,Yes,Default,416.67,758.1,3.0458,18.1268,1.2264,Very Poor,26-35
APP_00141,50,5098.0,Unemployed,503.0,56110,120,1429.0,No,Non-Default,424.83,680.77,4.9662,11.0063,3.3637,Poor,46-55
APP_00142,49,67196.0,Salaried,627.0,70072,60,346.0,Yes,Non-Default,5599.67,1420.81,0.3155,1.0428,0.0618,Fair,46-55
APP_00143,39,121789.0,Self-Employed,612.0,51324,12,1339.0,No,Non-Default,10149.08,4464.59,0.5718,0.4214,0.1319,Fair,36-45
APP_00144,33,93612.0,Salaried,553.0,52232,240,465.0,Yes,Non-Default,7801.0,436.89,0.1156,0.558,0.0596,Poor,26-35
APP_00145,28,60269.0,Salaried,547.0,5805,48,432.0,No,Non-Default,5022.42,141.72,0.1142,0.0963,0.086,Poor,26-35
APP_00146,37,68114.0,Salaried,548.0,30045,48,519.0,Yes,Non-Default,5676.17,733.49,0.2207,0.4411,0.0914,Poor,36-45
APP_00147,43,114452.0,Self-Employed,584.0,21356,60,701.0,No,Non-Default,9537.67,433.02,0.1189,0.1866,0.0735,Poor,36-45
APP_00148,34,33467.0,Self-Employed,515.0,100360,60,294.0,No,Non-Default,2788.92,2034.94,0.8351,2.9988,0.1054,Poor,26-35
APP_00149,22,73094.0,Salaried,596.0,16295,360,1971.0,No,Non-Default,6091.17,119.57,0.3432,0.2229,0.3236,Poor,18-25
APP_00150,50,48442.0,Salaried,474.0,29021,36,46.0,No,Non-Default,4036.83,909.41,0.2367,0.5991,0.0114,Very Poor,46-55
APP_00151,39,55938.0,Government,651.0,68919,84,1225.0,Yes,Non-Default,4661.5,1074.19,0.4932,1.2321,0.2628,Fair,36-45
APP_00152,34,55819.0,Salaried,447.0,46201,24,535.0,No,Non-Default,4651.58,2089.55,0.5642,0.8277,0.115,Very Poor,26-35
APP_00153,46,73707.0,Salaried,507.0,41516,36,1203.0,No,Non-Default,6142.25,1300.96,0.4077,0.5633,0.1959,Poor,46-55
APP_00154,53,99260.0,Self-Employed,599.0,88199,120,230.0,No,Non-Default,8271.67,1070.1,0.1572,0.8886,0.0278,Poor,46-55
APP_00155,22,19128.0,Unemployed,582.0,44715,180,883.0,Yes,Default,1594.0,427.32,0.822,2.3377,0.554,Poor,18-25
APP_00156,42,71963.0,Salaried,519.0,23483,60,478.0,Yes,Non-Default,5996.92,476.15,0.1591,0.3263,0.0797,Poor,36-45
APP_00157,23,48089.0,Freelancer,459.0,12874,120,889.0,No,Non-Default,4007.42,156.2,0.2608,0.2677,0.2218,Very Poor,18-25
APP_00158,42,78372.0,Freelancer,584.0,53603,240,196.0,No,Non-Default,6531.0,448.36,0.0987,0.684,0.03,Poor,36-45
APP_00159,39,34512.0,Salaried,480.0,19612,240,1246.0,No,Non-Default,2876.0,164.04,0.4903,0.5683,0.4332,Very Poor,36-45
APP_00160,44,75520.0,Freelancer,586.0,29944,48,1290.0,No,Non-Default,6293.33,731.02,0.3211,0.3965,0.205,Poor,36-45
APP_00161,33,59203.0,Salaried,525.0,86050,48,322.0,No,Non-Default,4933.58,2100.73,0.4911,1.4535,0.0653,Poor,26-35
APP_00162,22,99981.0,Self-Employed,545.0,30423,120,255.0,No,Non-Default,8331.75,369.11,0.0749,0.3043,0.0306,Poor,18-25
APP_00163,33,59949.0,Self-Employed,660.0,25453,84,428.0,No,Non-Default,4995.75,396.72,0.1651,0.4246,0.0857,Fair,26-35
APP_00164,42,55411.0,Self-Employed,375.0,29036,48,346.0,Yes,Non-Default,4617.58,708.85,0.2284,0.524,0.0749,Very Poor,36-45
APP_00165,48,74691.0,Salaried,642.0,29670,36,342.0,No,Non-Default,6224.25,929.75,0.2043,0.3972,0.0549,Fair,46-55
APP_00166,26,70505.0,Government,592.0,16432,84,1135.0,Yes,Non-Default,5875.42,256.11,0.2368,0.2331,0.1932,Poor,26-35
APP_00167,48,74460.0,Salaried,514.0,138952,60,227.0,Yes,Default,6205.0,2817.45,0.4906,1.8661,0.0366,Poor,46-55
APP_00168,31,54157.0,Salaried,615.0,23401,36,665.0,Yes,Non-Default,4513.08,733.3,0.3098,0.4321,0.1473,Fair,26-35
APP_00169,41,137227.0,Salaried,574.0,68016,84,487.0,No,Non-Default,11435.58,1060.11,0.1353,0.4956,0.0426,Poor,36-45
APP_00170,32,121950.0,Self-Employed,671.0,16078,84,151.0,No,Non-Default,10162.5,250.6,0.0395,0.1318,0.0149,Fair,26-35
APP_00171,39,61800.0,Freelancer,428.0,56365,48,379.0,No,Non-Default,5150.0,1376.03,0.3408,0.9121,0.0736,Very Poor,36-45
APP_00172,46,57940.0,Salaried,470.0,41584,180,957.0,No,Non-Default,4828.33,397.4,0.2805,0.7177,0.1982,Very Poor,46-55
APP_00173,25,58119.0,Self-Employed,470.0,37050,24,404.0,No,Non-Default,4843.25,1675.67,0.4294,0.6375,0.0834,Very Poor,18-25
APP_00174,31,59403.0,Salaried,491.0,41770,60,596.0,No,Non-Default,4950.25,846.94,0.2915,0.7032,0.1204,Very Poor,26-35
APP_00175,39,117849.0,Self-Employed,615.0,50653,360,746.0,No,Non-Default,9820.75,371.67,0.1138,0.4298,0.076,Fair,36-45
APP_00176,62,45187.0,Salaried,467.0,30287,36,25.0,No,Non-Default,3765.58,949.08,0.2587,0.6703,0.0066,Very Poor,56+
APP_00177,29,25772.0,Freelancer,378.0,31520,36,26.0,Yes,Non-Default,2147.67,987.72,0.472,1.223,0.0121,Very Poor,26-35
APP_00178,58,75790.0,Salaried,576.0,57638,48,61.0,No,Non-Default,6315.83,1407.11,0.2324,0.7605,0.0097,Poor,56+
APP_00179,58,14553.0,Unemployed,466.0,14565,36,88.0,No,Non-Default,1212.75,456.41,0.4489,1.0008,0.0726,Very Poor,56+
APP_00180,37,49593.0,Salaried,535.0,12873,36,834.0,Yes,Non-Default,4132.75,403.39,0.2994,0.2596,0.2018,Poor,36-45
APP_00181,35,43175.0,Salaried,514.0,41904,240,285.0,Yes,Default,3597.92,350.5,0.1766,0.9706,0.0792,Poor,26-35
APP_00182,31,93757.0,Salaried,627.0,7274,48,102.0,No,Non-Default,7813.08,177.58,0.0358,0.0776,0.0131,Fair,26-35
APP_00183,37,14856.0,Unemployed,460.0,9449,24,379.0,No,Default,1238.0,427.35,0.6513,0.636,0.3061,Very Poor,36-45
APP_00184,23,41637.0,Government,554.0,153921,240,720.0,No,Non-Default,3469.75,1287.46,0.5786,3.6967,0.2075,Poor,18-25
APP_00185,37,39127.0,Salaried,461.0,125431,60,75.0,No,Non-Default,3260.58,2543.29,0.803,3.2057,0.023,Very Poor,36-45
APP_00186,52,38492.0,Freelancer,462.0,23003,120,211.0,No,Non-Default,3207.67,279.09,0.1528,0.5976,0.0658,Very Poor,46-55
APP_00187,31,66794.0,Government,609.0,80768,48,108.0,Yes,Non-Default,5566.17,1971.78,0.3736,1.2092,0.0194,Fair,26-35
APP_00188,35,100825.0,Self-Employed,657.0,83036,240,519.0,Yes,Non-Default,8402.08,694.55,0.1444,0.8236,0.0618,Fair,26-35
APP_00189,22,119608.0,Self-Employed,646.0,52937,48,73.0,No,Non-Default,9967.33,1292.35,0.137,0.4426,0.0073,Fair,18-25
