Customer_ID,Region,Customer_Type,Product_Line,Deployment_Type,Subscription_Model,Active_Devices,Monthly_Usage_Hours,Support_Tickets_Monthly,Renewal_Probability,Avg_Response_Time_Minutes,Monthly_Cost_USD,Integration_Count,Training_Completed,SLA_Compliance,Customer_Satisfaction_Score,Business_Tier
686fa390-eead-4adc-9a00-a6bbf806229f,Asia Pacific,Healthcare,Cisco DNA,On-Premises,Recurring License,3826,598.21,2,0.78,17.69,14872.01,1,0,90.16,5,Tier 3
b82634f1-eae7-4e1d-8387-06615c93c254,North America,Education,Meraki,Cloud,Usage-Based,4977,372.01,2,0.43,19.58,21995.16,9,0,94.51,2,Tier 2
e18f874c-e28c-4c6f-93ab-52d83e1a22af,Asia Pacific,SMB,Cisco DNA,Cloud,Recurring License,9413,761.95,6,0.88,22.73,17386.79,5,0,86.81,5,Tier 3
62be14af-a109-45ec-aac7-59a1c12f15aa,Europe,Education,Cisco+,On-Premises,SaaS,1136,587.77,7,0.6,18.72,12082.66,5,0,85.57,3,Tier 2
39f6504d-29a3-48e8-bfdc-d27fe61041b3,North America,Enterprise,Cisco DNA,Hybrid,Recurring License,2288,402.47,2,0.38,22.28,11960.93,8,1,85.47,1,Tier 3
a8bac057-3546-4da3-ac57-23fb630cd20d,Latin America,Education,Licensing Platform,On-Premises,Usage-Based,9991,839.25,2,0.56,19.97,24968.53,3,1,99.63,3,Tier 3
1929ce26-ca95-4f7d-ae6a-7755422d9122,North America,SMB,Meraki,On-Premises,Recurring License,8908,379.01,5,0.47,20.41,17723.97,8,1,94.7,2,Tier 3
e62f88e4-d85b-47c3-8d7c-4efe3663824b,Asia Pacific,Enterprise,Meraki,Hybrid,SaaS,6342,268.83,5,0.92,19.64,14645.72,9,1,86.44,4,Tier 3
d94ee708-1ab3-4ae9-9837-2494455c9056,North America,Healthcare,Meraki,Cloud,Usage-Based,9791,455.48,5,0.87,9.98,13222.15,1,1,85.59,3,Tier 2
a4af8803-f9be-41b5-9ecd-e4d2fa06c139,Asia Pacific,Education,Meraki,Hybrid,Recurring License,3394,546.18,5,0.5,22.63,18960.56,2,0,98.87,5,Tier 2
57346a52-5f58-4588-8e21-2bfb8028f8d7,North America,Healthcare,Meraki,On-Premises,Usage-Based,8026,569.52,4,0.63,9.88,12945.56,7,0,87.07,2,Tier 2
de4a3974-af85-4527-ab87-8666a48ed71a,Middle East & Africa,Healthcare,Cisco+,Cloud,Recurring License,338,472.18,2,0.49,28.56,16062.09,1,1,97.89,5,Tier 3
5ed40cb4-9499-4976-9f46-83869b9e8a24,Latin America,Enterprise,Meraki,Hybrid,Usage-Based,3563,888.66,9,0.35,14.86,12451.88,5,1,96.33,2,Tier 1
766565c2-b82b-4f13-88a7-02aefda0d461,Asia Pacific,Enterprise,Cisco DNA,Cloud,Usage-Based,9007,612.02,5,0.66,16.2,10219.52,5,1,97.15,3,Tier 2
9fa9c84c-346d-4ad0-a73e-43efb13c88c3,North America,Enterprise,Cisco+,Cloud,SaaS,7301,797.07,3,0.52,25.57,11284.74,6,0,87.36,1,Tier 3
3ea36348-e3b3-40e1-858f-9a2984ce3188,North America,SMB,Cisco DNA,On-Premises,SaaS,1135,503.23,3,0.64,16.41,18303.54,6,0,90.09,2,Tier 1
1bc6bc29-0f2b-4876-9063-a8d80bcd4909,Asia Pacific,Government,Meraki,Hybrid,Recurring License,4098,471.66,7,0.42,18.09,11154.3,7,0,91.94,3,Tier 2
02bea0ac-ee9a-4381-a3a6-ed8a75bcdcdd,Europe,Enterprise,Cisco DNA,On-Premises,SaaS,6385,558.43,2,0.8,15.52,19945.67,4,1,97.54,5,Tier 3
2ea65da3-0867-4e7e-98a3-27969593e893,Asia Pacific,Healthcare,Meraki,Hybrid,Usage-Based,7229,402.83,2,0.9,31.76,21518.67,1,1,87.3,1,Tier 3
c66463e3-de02-4504-9e48-ade595e0147e,Europe,Education,Licensing Platform,On-Premises,SaaS,1088,266.54,4,0.65,22.23,8861.5,4,1,92.52,1,Tier 1
b21dd4c9-4781-4ff6-b53c-ffcab61ec00a,Europe,Government,Meraki,On-Premises,SaaS,863,550.93,5,0.45,22.69,17036.43,5,0,89.46,1,Tier 3
3970b0b2-35ed-4bd5-b9e4-af7576a9ee45,North America,SMB,Licensing Platform,Cloud,SaaS,2369,575.83,1,0.37,19.03,13517.65,2,1,88.7,5,Tier 3
b86a42b0-f6ac-4a29-9bad-db00c576f6b9,Asia Pacific,SMB,Cisco DNA,Hybrid,Recurring License,1201,737.37,6,0.54,27.78,10844.47,6,0,90.9,3,Tier 3
e98b0875-651b-4a87-be84-8b7b76771c65,Latin America,Enterprise,Cisco DNA,Cloud,SaaS,6739,677.04,4,0.77,19.14,15150.89,3,1,86.91,5,Tier 1
0eca8592-89f6-46f3-8edc-405056576a4e,Latin America,SMB,Cisco DNA,Hybrid,SaaS,6472,567.24,2,0.57,21.92,15819.6,2,1,99.3,3,Tier 3
6ed082e0-39ff-4aaa-ad3b-18f6cffb4866,Middle East & Africa,Education,Cisco+,On-Premises,SaaS,3253,436.19,4,0.81,17.44,10974.85,9,0,95.06,2,Tier 2
797b0711-508a-4424-93b9-b41b896cf11d,Latin America,Enterprise,Cisco+,Cloud,Recurring License,2477,693.18,5,0.65,25.92,19550.84,6,1,89.25,1,Tier 1
b24ba5ea-b700-47a5-9443-520f498e77e7,Latin America,SMB,Meraki,On-Premises,Recurring License,859,478.71,3,0.45,25.83,11729.9,5,1,96.37,1,Tier 2
ff2cf85a-7843-4115-b19f-3e35aba51985,Europe,Government,Licensing Platform,On-Premises,SaaS,348,598.88,4,0.6,14.74,13880.92,1,1,94.4,5,Tier 2
4aa197eb-ac66-454b-9754-5994c1a88d97,Latin America,Enterprise,Cisco+,Hybrid,Recurring License,432,772.84,1,0.4,22.91,15629.6,1,1,87.74,4,Tier 3
7cc8dfca-bada-4d63-95d8-f69b8f6b7758,Latin America,Government,Cisco+,Cloud,Recurring License,3968,501.85,7,0.36,14.14,22186.79,1,1,88.74,5,Tier 1
ed9f2930-b8e2-40b5-8614-5124234f5678,Latin America,SMB,Meraki,Cloud,Recurring License,9832,283.62,5,0.41,21.02,21648.26,5,0,96.31,1,Tier 3
96f5a0dd-55c3-4b30-917a-acfec9b7787d,Europe,Government,Meraki,Cloud,Usage-Based,1964,938.25,3,0.34,16.3,18545.94,3,0,97.32,3,Tier 2
02b1a018-b424-41e3-97b5-8dd6b80b3151,Asia Pacific,Government,Cisco+,On-Premises,Usage-Based,1256,556.33,1,0.47,21.34,19624.56,3,1,87.0,2,Tier 3
44bb94c2-121e-4cd8-acc4-477f99785456,North America,SMB,Licensing Platform,Hybrid,Recurring License,9966,544.0,9,0.86,12.7,9755.6,9,0,96.92,2,Tier 1
e94dae41-28f9-4307-bee5-813c42f8c7be,Europe,Government,Meraki,On-Premises,SaaS,1141,629.2,2,0.74,17.94,10093.64,3,0,98.44,1,Tier 2
9fbc5709-c887-4763-8521-f1e94f1e3780,Latin America,Enterprise,Licensing Platform,Cloud,Recurring License,9515,526.97,5,0.38,30.89,16722.52,3,0,88.65,3,Tier 1
f6f61e6f-6a86-41b6-a4c3-990a41998a7a,North America,Education,Cisco+,Cloud,Usage-Based,3644,539.34,7,0.7,21.69,19805.84,7,1,99.41,4,Tier 3
c5498422-50fd-4cd0-a35a-80b85ee38077,Middle East & Africa,Healthcare,Licensing Platform,Hybrid,Recurring License,9647,161.64,3,0.96,17.11,23852.05,6,1,98.0,5,Tier 2
049dcbe7-a4c4-4a94-8bad-6550c3985f55,North America,Government,Meraki,Cloud,Recurring License,5285,474.56,4,0.35,25.68,12348.71,5,1,89.5,3,Tier 1
e90ed105-6ade-4363-8c1d-5dc11bbabae4,North America,Healthcare,Cisco+,Cloud,Usage-Based,8604,411.13,8,0.77,22.46,21534.59,1,1,90.56,2,Tier 2
ca621a2d-e78c-43b6-9946-1d3cb37a964c,North America,SMB,Licensing Platform,Cloud,Usage-Based,4277,497.99,7,0.66,16.21,15286.15,5,0,85.91,3,Tier 1
10d2f004-a273-46bd-9613-424e470a8b53,Latin America,Government,Cisco DNA,On-Premises,Usage-Based,8601,393.77,3,0.42,26.66,18552.15,9,0,96.44,1,Tier 1
1ab78c2d-7ab2-461e-9ab7-da68c7898ad4,North America,SMB,Meraki,Hybrid,Usage-Based,6931,537.44,2,0.99,31.96,8238.62,8,0,97.06,3,Tier 3
9545fd0d-dcba-4c1d-9d40-0dbf8e79f896,Asia Pacific,Enterprise,Licensing Platform,On-Premises,Recurring License,7030,666.21,2,0.47,10.58,9116.43,5,0,95.44,3,Tier 2
d9e09936-4c90-4a20-ad9a-bbfd2aa2a231,Latin America,SMB,Cisco+,Hybrid,Usage-Based,7687,715.8,4,0.93,21.53,10877.93,7,0,96.67,1,Tier 3
cc43c254-0008-4b6f-bf82-c898f901e2ee,Asia Pacific,Government,Cisco DNA,Hybrid,Usage-Based,1661,450.72,4,0.89,21.94,14024.49,5,1,88.59,3,Tier 3
9db28869-0df9-41bc-8cfc-97a38b881155,North America,SMB,Cisco+,Cloud,SaaS,2499,471.84,7,0.46,24.25,21149.58,5,0,87.82,2,Tier 1
be18c79a-78ca-470c-b92a-2f6505bea056,Latin America,Government,Licensing Platform,On-Premises,Usage-Based,2048,515.24,3,0.71,11.84,14085.7,1,0,97.97,5,Tier 2
a4a09580-b46d-48ad-abeb-710ad8b22749,Asia Pacific,Enterprise,Meraki,Cloud,Usage-Based,469,450.14,1,0.49,21.32,15593.44,1,0,98.04,4,Tier 3
89729b4e-c0d8-45ca-93ec-51a2883d6ea8,Latin America,Education,Cisco DNA,Hybrid,SaaS,8221,536.93,2,0.54,15.27,15794.65,2,0,90.59,5,Tier 2
4ab866d9-366e-4058-81e8-d5989d3d6a18,North America,Enterprise,Cisco DNA,On-Premises,Usage-Based,1561,317.9,2,0.53,21.94,12074.54,7,1,98.82,4,Tier 1
bd965a23-c069-477f-a194-905bbf9387b9,Middle East & Africa,Education,Licensing Platform,On-Premises,SaaS,9363,447.93,5,0.58,19.04,19629.56,8,0,87.83,3,Tier 2
9363025c-780c-4a1d-b1ce-d21088f707e3,North America,SMB,Cisco+,On-Premises,Usage-Based,1090,446.18,3,0.79,15.13,18749.96,4,0,96.79,2,Tier 3
c89fad70-2897-4a35-b2c7-2fbe4f795d8c,Latin America,Healthcare,Cisco DNA,On-Premises,SaaS,9924,310.43,3,0.6,25.69,7598.35,6,0,91.21,3,Tier 2
8f4f1633-647a-4e4e-82e4-8318ea0e9a3b,Latin America,Government,Cisco+,Cloud,Recurring License,4398,679.89,1,0.89,19.31,15113.89,1,1,92.91,5,Tier 3
372a4544-7e13-47da-89af-bbc6354d399f,Latin America,Enterprise,Cisco DNA,Hybrid,SaaS,9335,415.86,5,0.84,26.39,20264.22,8,0,90.93,4,Tier 3
32fa1670-a1ea-4183-8aa5-f383fb7f44c9,North America,Healthcare,Licensing Platform,Hybrid,Usage-Based,4280,503.81,1,0.9,21.19,10574.83,1,0,97.05,4,Tier 2
74771065-36f4-4666-9d8e-dbd53735858c,Latin America,Enterprise,Cisco+,On-Premises,Usage-Based,9343,477.12,6,0.76,26.83,17123.71,6,1,93.68,5,Tier 1
7e1eb999-9b69-4e19-b43f-b9225544a0bc,Europe,SMB,Licensing Platform,Hybrid,Recurring License,3681,278.78,7,0.37,21.37,18507.65,5,1,87.41,5,Tier 2
617cee1f-ab1c-4080-b447-a587e3a9bbd9,North America,Healthcare,Meraki,On-Premises,Recurring License,2019,451.63,4,0.94,20.01,10074.21,6,0,99.73,5,Tier 1
403c00b7-23b8-4c3f-9d01-ec619782a867,Latin America,Enterprise,Licensing Platform,On-Premises,SaaS,2584,668.76,4,0.47,20.62,15382.91,4,1,85.48,4,Tier 2
e11b0eb0-6468-4bdc-94b5-8b48415be46c,Asia Pacific,Healthcare,Licensing Platform,On-Premises,Recurring License,4080,589.33,6,0.48,25.16,21013.89,6,1,97.36,2,Tier 2
41a865de-8f5e-4e7a-b8ab-d0bde2fb0e01,Europe,Healthcare,Licensing Platform,Cloud,Usage-Based,5546,473.97,3,0.74,27.76,19707.34,5,0,86.65,2,Tier 1
10a658c3-3800-4401-af02-5c0a12d45e0c,Middle East & Africa,Enterprise,Cisco+,Hybrid,Recurring License,4535,784.14,5,0.35,21.49,19792.71,6,0,85.12,5,Tier 2
4c936881-d55a-4e4c-b019-44ac8311c148,Latin America,Government,Cisco DNA,Hybrid,Usage-Based,3494,313.59,3,0.89,24.05,13933.97,5,1,89.27,1,Tier 1
ef48c503-90b0-4556-819d-3d7675488d5e,Asia Pacific,Education,Cisco DNA,On-Premises,Recurring License,6717,465.75,4,0.59,13.55,13540.25,7,0,92.67,4,Tier 2
5faacbc6-2589-4b39-b7ae-f5b36433994d,Middle East & Africa,Enterprise,Licensing Platform,Cloud,Recurring License,1711,600.56,5,0.38,24.92,13319.09,4,1,93.38,1,Tier 2
bc0bc0b1-9514-41f3-b4ea-fef1617f4b0b,North America,Healthcare,Licensing Platform,On-Premises,SaaS,7911,452.24,3,0.78,22.07,16255.79,1,0,95.95,1,Tier 1
7b5982f1-3b1e-4222-8bb6-cf50c8766de2,Europe,SMB,Cisco+,Cloud,Usage-Based,5023,468.88,8,0.9,24.61,15863.61,8,1,86.79,5,Tier 3
c92b724b-36b4-4139-bf9f-6891ac5481b0,Middle East & Africa,Healthcare,Meraki,On-Premises,SaaS,918,322.34,1,0.84,24.78,19224.79,1,1,92.45,4,Tier 1
962fed47-7937-4b4b-9f9d-760108c83708,North America,Enterprise,Cisco DNA,Cloud,Usage-Based,8146,773.81,4,0.73,17.06,9487.91,1,0,86.55,4,Tier 2
fb9b91cc-c92c-4ecc-96b2-3043cc5d0965,Latin America,SMB,Cisco+,Cloud,Recurring License,1427,519.1,0,0.76,22.46,13294.1,2,1,89.18,1,Tier 1
bf9f55eb-a80e-4dc8-b34a-7b97782a168a,Middle East & Africa,Enterprise,Cisco DNA,On-Premises,Usage-Based,8670,322.75,6,0.58,13.97,13058.61,6,0,91.67,2,Tier 3
789d24c9-6c96-4cbd-9565-26ee78038751,North America,Enterprise,Cisco+,Hybrid,SaaS,1930,716.58,6,0.58,12.63,9888.34,6,1,85.59,1,Tier 1
080a40c2-9722-4f16-9881-385c7424709e,Asia Pacific,Healthcare,Cisco+,Cloud,Recurring License,1579,369.74,5,0.44,21.85,15152.75,8,0,97.27,5,Tier 3
f8e1f0e0-b88c-4507-b194-53ae123b248b,North America,SMB,Meraki,On-Premises,Recurring License,6630,521.1,1,0.63,23.81,8642.07,9,0,86.21,5,Tier 3
3ef48565-8d5d-4764-b0e5-e174b3876441,Middle East & Africa,Government,Meraki,Hybrid,Recurring License,1258,324.05,6,0.64,25.9,13885.63,4,1,99.08,1,Tier 1
d4b042f2-b56d-4527-90d1-3293911f59eb,Asia Pacific,Enterprise,Cisco+,On-Premises,Usage-Based,9994,274.27,5,0.46,22.03,17081.52,8,0,86.21,2,Tier 2
3e49a939-3d37-4b8c-adfb-4a4c2be998c3,Middle East & Africa,Government,Cisco+,On-Premises,Recurring License,463,181.96,7,0.5,31.57,14926.71,2,1,92.09,5,Tier 2
004223d8-2d10-4fcc-8f65-daf9e4efee52,Europe,Enterprise,Meraki,Hybrid,Recurring License,1961,567.37,5,0.87,12.78,10757.33,7,0,85.44,4,Tier 2
ff1e22e1-ad9a-4df6-aea3-9a9e4a34cb5e,Asia Pacific,Government,Cisco DNA,Hybrid,Recurring License,9583,725.3,5,0.52,19.59,11353.72,5,1,91.98,5,Tier 3
be63e59a-49a7-4965-b583-032875c261ac,North America,Education,Licensing Platform,Cloud,SaaS,9984,616.32,5,0.34,19.0,14973.49,1,1,98.52,3,Tier 1
edc4586f-b588-41ba-841b-771cda7631aa,Middle East & Africa,Government,Cisco DNA,Hybrid,Recurring License,1973,622.95,5,0.97,23.71,6652.6,5,1,88.98,4,Tier 3
4b848e84-388e-4362-8fb3-0b23c22bd565,Europe,Education,Licensing Platform,On-Premises,Usage-Based,1617,474.9,4,0.59,21.75,17393.36,1,0,99.02,2,Tier 1
51d4be19-0686-4f06-ad40-522c7f25554f,Middle East & Africa,SMB,Cisco DNA,Hybrid,Usage-Based,5959,440.82,6,0.82,16.14,10597.05,9,1,94.62,5,Tier 2
e8a6ae3e-8fc2-49b8-a680-28a1da3605fc,Latin America,Enterprise,Cisco DNA,Cloud,Recurring License,8855,588.35,3,0.35,19.49,5621.59,7,0,92.56,3,Tier 1
091ea24f-d988-4ff4-9201-c1a6068c731f,North America,Healthcare,Licensing Platform,On-Premises,Recurring License,8362,573.26,8,0.34,14.13,13932.26,2,0,94.47,3,Tier 2
c35162ec-f763-44a0-96d7-a87dc94d3595,Latin America,Enterprise,Cisco+,Cloud,Usage-Based,2125,902.93,11,0.79,22.48,15197.51,9,1,91.48,1,Tier 1
f0dd21fb-7afa-4b3b-b4f1-dfd19ec7b73e,Europe,Healthcare,Cisco DNA,Cloud,Usage-Based,1698,675.67,5,0.69,20.0,17449.83,9,0,91.79,1,Tier 2
8a86c81e-a207-41bb-b4ba-b923750a08df,Asia Pacific,Education,Cisco+,On-Premises,SaaS,5001,553.07,6,1.0,19.47,11814.03,1,1,91.54,2,Tier 3
dac797c7-c79d-4f9a-97d0-1e316d1ce74b,North America,Healthcare,Licensing Platform,Cloud,Recurring License,1276,343.39,7,0.5,12.61,12886.86,6,1,91.28,2,Tier 1
5a8a0c37-1edc-45fd-9830-e2803ad91652,Asia Pacific,Healthcare,Meraki,Cloud,SaaS,827,504.31,2,0.59,23.88,20813.67,3,0,97.07,4,Tier 2
75ec64f5-8825-4b30-80ad-bdd784c0d43a,North America,Healthcare,Licensing Platform,Hybrid,SaaS,3788,559.08,4,0.75,14.69,16324.83,8,1,90.78,1,Tier 3
83158c1d-23b1-441b-8a94-954f4379d41c,Latin America,Healthcare,Cisco DNA,On-Premises,Usage-Based,8300,583.43,2,0.41,21.61,13886.94,1,0,96.08,4,Tier 2
342206d1-1f06-4fe7-9b51-272a67ded810,Latin America,Healthcare,Cisco+,Cloud,SaaS,6372,-128.82,5,0.75,18.67,19449.47,9,0,96.03,3,Tier 2
e712ee6b-4584-44a6-8655-8045a614a9d3,Latin America,Government,Cisco+,On-Premises,Recurring License,3693,544.96,4,0.51,23.5,10314.57,3,0,96.55,1,Tier 2
fbdbe3ea-c1a6-48a8-ac96-012b41d93489,Asia Pacific,Government,Cisco+,Cloud,SaaS,2995,366.34,6,0.95,18.29,22420.83,1,0,99.87,5,Tier 3
0f94f39d-22a0-4168-8aef-19664e5ed094,Europe,Healthcare,Cisco DNA,Cloud,Usage-Based,1164,300.49,0,0.46,18.34,15725.51,4,0,85.05,5,Tier 1
28efa08b-e31b-4ef6-900e-70ade5de27f6,Middle East & Africa,SMB,Licensing Platform,On-Premises,SaaS,8109,614.79,6,0.36,14.15,15152.8,8,1,88.48,5,Tier 3
0803172f-46ab-4ef3-a34b-09d45b95d444,North America,Education,Cisco DNA,Cloud,SaaS,8775,539.84,3,0.84,22.54,14070.37,2,0,97.82,2,Tier 2
853a2fbf-ea89-4432-8209-2411801d09b6,Europe,Government,Cisco+,On-Premises,Usage-Based,3317,244.22,5,0.57,26.82,14107.05,7,0,85.73,5,Tier 3
6fd371c4-7386-4b82-a961-22ff24678ba8,Asia Pacific,Education,Licensing Platform,Cloud,Usage-Based,5172,468.53,4,0.72,25.03,11641.72,4,1,93.98,4,Tier 2
34681e69-b1df-4a57-b471-0bf0b010a17b,Latin America,SMB,Meraki,Hybrid,SaaS,8139,323.56,7,0.63,29.43,14094.82,1,1,95.56,4,Tier 2
15f55d78-10aa-456a-ab7a-0d5da0ea7f83,Asia Pacific,Enterprise,Meraki,Hybrid,Recurring License,5786,401.17,3,0.43,24.55,10709.16,3,1,88.24,1,Tier 1
7217721a-dc44-4a07-bde3-221bb21b6c8b,Asia Pacific,Government,Licensing Platform,On-Premises,Usage-Based,9410,434.46,0,0.65,15.65,14550.69,6,0,99.64,2,Tier 3
484a1c41-08e8-4f48-b482-c3cd7e097714,Latin America,Education,Cisco DNA,On-Premises,SaaS,4347,305.47,6,0.8,21.02,16544.79,6,1,98.65,4,Tier 1
