Plant_ID,Date,Water_Consumption_m3,Steam_Usage_Ton,Power_Usage_MWh,Waste_Treated_m3,Boiler_Temperature_C,Turbine_Efficiency_%,Chiller_Utilization_%,CO2_Emissions_Ton,pH_Level_Water,Conductivity_uS,Cooling_Tower_Efficiency_%,Energy_Cost_USD,Maintenance_Cost_USD,Downtime_Minutes,Alarm_Count,Recycle_Water_Used_m3,External_Water_Use_m3,Ambient_Temperature_C,Humidity_%,Water_Leakage_m3,Efficiency_Index,Operator_ID
PLT004,2023-01-01 16:00:00,488.0,197.89,1016.1,322.37,498.53,96.33,69.2,51.48,6.42,546.3,64.93,13104.53,586.82,97,7.0,96.9,339.9,35.36,51.38,2.42,89.83,OP1001
PLT005,2023-01-01 17:00:00,500.56,184.73,1037.75,288.2,432.63,80.84,77.61,49.05,7.4,409.91,63.88,11792.05,586.92,69,0.0,83.06,462.33,32.71,55.8,7.58,84.06,OP1004
PLT001,2023-01-01 18:00:00,526.48,175.12,890.3,341.27,436.13,89.23,79.95,68.35,7.3,578.01,76.2,12579.04,392.92,46,4.0,92.64,455.59,28.96,37.21,4.19,88.95,OP1003
PLT004,2023-01-01 19:00:00,542.81,198.47,874.87,326.89,449.59,79.08,71.33,61.47,7.24,499.87,72.37,10669.33,431.19,20,8.0,108.16,458.78,34.51,53.79,7.17,87.01,OP1004
PLT002,2023-01-01 20:00:00,473.17,195.75,1109.72,314.32,452.46,92.44,75.77,56.43,7.01,549.87,66.74,11313.45,581.47,39,2.0,90.54,353.77,30.28,49.32,7.91,81.21,OP1001
PLT005,2023-01-01 21:00:00,510.07,184.15,1012.4,274.84,472.03,89.21,70.36,33.77,6.88,580.06,60.93,15168.48,464.06,33,1.0,108.3,373.53,22.97,49.75,1.4,88.16,OP1002
PLT004,2023-01-01 22:00:00,528.69,194.89,984.92,310.35,436.47,84.7,82.43,52.32,6.99,483.68,72.2,12058.4,585.86,80,2.0,110.04,389.1,43.39,53.53,6.33,88.3,OP1003
PLT001,2023-01-01 23:00:00,490.91,205.02,857.48,364.64,427.33,81.71,65.88,52.94,7.05,505.16,80.49,10945.01,487.04,27,1.0,63.96,405.97,36.2,47.75,6.13,91.94,OP1002
PLT001,2023-01-02 00:00:00,478.93,221.4,1076.94,320.13,426.03,88.87,69.42,53.27,6.53,464.53,63.2,10510.83,657.75,113,2.0,71.68,359.69,28.49,42.24,4.9,94.98,OP1001
PLT003,2023-01-02 01:00:00,535.63,203.9,999.81,322.48,426.02,81.57,86.3,46.42,6.86,515.69,72.13,13680.45,514.65,10,6.0,85.33,382.34,43.46,40.79,6.11,94.24,OP1004
PLT003,2023-01-02 02:00:00,491.11,196.49,1149.57,258.99,429.7,86.85,62.63,40.62,6.69,355.48,75.07,13031.17,308.62,3,,118.94,384.71,35.01,66.03,3.87,86.95,OP1002
PLT002,2023-01-02 03:00:00,440.15,183.53,1019.25,288.97,463.41,87.01,75.11,52.85,6.71,687.21,71.98,11679.55,479.67,8,1.0,117.98,414.78,29.85,48.13,6.02,88.0,OP1003
PLT004,2023-01-02 04:00:00,568.65,185.11,974.1,301.54,452.38,89.98,79.97,53.64,6.87,513.57,74.3,8055.56,573.28,90,1.0,77.25,417.22,41.81,67.55,4.4,97.0,OP1004
PLT004,2023-01-02 05:00:00,445.69,204.33,938.31,302.72,463.16,84.93,90.9,37.22,7.1,573.85,69.63,14891.01,488.73,89,1.0,84.0,378.02,31.65,57.22,5.13,90.07,OP1002
PLT003,2023-01-02 06:00:00,495.27,205.41,1157.94,330.7,438.71,77.87,71.24,76.57,7.2,465.14,67.8,11603.78,566.21,65,2.0,95.38,428.3,39.27,47.21,1.89,95.87,OP1002
PLT004,2023-01-02 07:00:00,516.09,195.56,1099.07,266.4,461.84,73.48,57.69,50.1,6.71,468.86,74.29,10105.06,436.55,104,1.0,101.02,376.23,36.58,60.07,7.75,86.59,OP1003
PLT004,2023-01-02 08:00:00,522.76,218.1,1022.11,308.13,433.03,79.33,73.7,35.2,6.89,525.75,71.37,13022.37,692.29,5,3.0,70.8,425.27,31.54,26.58,3.63,87.4,OP1003
PLT001,2023-01-02 09:00:00,508.48,201.18,1094.19,304.34,439.33,91.35,76.16,58.3,7.13,501.28,75.86,15824.44,565.91,84,9.0,69.58,386.33,38.31,51.81,4.68,94.56,OP1002
PLT003,2023-01-02 10:00:00,352.89,190.27,1033.65,341.87,461.53,89.06,77.25,43.24,6.94,515.08,69.52,11975.91,730.27,71,7.0,113.81,408.22,28.39,53.93,8.66,84.63,OP1002
PLT005,2023-01-02 11:00:00,464.87,186.9,818.87,307.81,404.79,89.4,74.01,55.71,7.1,526.25,79.1,11412.5,416.76,99,2.0,99.49,501.13,28.13,43.43,3.61,85.24,OP1001
PLT003,2023-01-02 12:00:00,514.81,185.56,1094.14,284.01,462.57,78.79,64.3,67.1,6.44,488.25,74.96,11102.14,378.5,65,6.0,91.72,408.27,27.62,45.49,6.25,83.8,OP1001
PLT005,2023-01-02 13:00:00,494.55,209.6,1070.03,237.09,444.55,87.16,52.49,40.7,7.52,714.22,53.86,11359.3,865.46,65,4.0,106.67,483.09,40.74,54.12,4.66,86.73,OP1003
PLT001,2023-01-02 14:00:00,525.58,187.57,890.65,295.79,473.58,80.04,52.07,48.9,7.12,580.15,83.24,11072.58,440.54,50,5.0,102.73,415.24,32.55,54.03,7.56,91.53,OP1003
PLT002,2023-01-02 15:00:00,551.07,202.15,1058.72,301.32,437.94,84.3,62.14,60.5,7.13,556.03,82.22,11235.68,488.85,87,7.0,99.61,425.02,36.83,51.54,5.6,86.92,OP1001
PLT004,2023-01-02 16:00:00,525.33,183.03,916.3,296.97,445.24,78.96,71.71,59.29,6.98,486.68,62.85,12916.95,520.14,41,0.0,67.91,376.77,32.37,46.98,2.28,82.41,OP1002
PLT001,2023-01-02 17:00:00,463.55,196.66,957.33,338.74,454.69,86.49,67.13,50.31,7.24,590.11,76.11,11767.84,488.58,52,8.0,145.56,397.82,34.18,47.59,2.31,92.07,OP1002
PLT004,2023-01-02 18:00:00,473.07,198.91,1015.14,320.8,438.19,81.11,90.07,70.14,6.45,571.62,53.24,10073.29,516.56,105,3.0,66.88,375.33,34.2,44.36,2.93,86.96,OP1002
PLT002,2023-01-02 19:00:00,581.57,247.28,1009.99,284.83,457.46,88.88,87.43,43.01,7.03,529.19,80.96,9975.02,331.66,91,2.0,86.99,388.06,30.3,53.19,1.78,86.97,OP1004
PLT002,2023-01-02 20:00:00,491.04,173.86,991.82,283.2,455.79,87.72,63.92,42.01,7.17,439.93,75.12,12036.98,397.6,33,2.0,119.47,408.69,32.61,36.08,5.25,94.39,OP1004
PLT001,2023-01-02 21:00:00,495.23,216.17,837.8,305.5,472.66,83.58,65.52,51.74,7.29,656.41,81.01,10552.97,683.08,2,7.0,113.47,382.23,32.81,43.33,5.88,94.92,OP1001
PLT002,2023-01-02 22:00:00,525.49,184.63,1004.62,267.72,494.65,76.72,70.62,47.23,6.85,464.8,84.09,11620.58,654.12,7,6.0,104.31,457.1,29.22,33.12,1.69,91.9,OP1002
PLT005,2023-01-02 23:00:00,561.86,226.99,1167.26,293.39,471.07,83.24,56.54,49.37,7.07,588.98,61.26,12434.48,553.59,31,5.0,123.33,444.53,30.0,40.25,8.16,83.33,OP1004
PLT002,2023-01-03 00:00:00,454.94,186.04,1027.04,299.86,441.65,85.29,87.68,54.27,7.09,490.88,67.21,10580.78,297.73,16,7.0,85.47,381.12,32.29,46.37,2.72,97.17,OP1003
PLT004,2023-01-03 01:00:00,475.19,220.72,982.11,278.14,448.17,83.55,75.59,55.92,7.09,406.54,77.35,12974.23,411.66,76,,119.73,393.2,28.18,32.28,3.86,84.53,OP1002
PLT004,2023-01-03 02:00:00,419.8,204.43,1069.07,293.08,444.04,85.69,71.53,59.57,6.9,526.59,74.26,13696.83,380.28,46,3.0,114.14,355.23,38.64,55.64,4.66,93.87,OP1002
PLT004,2023-01-03 03:00:00,485.18,173.37,1014.99,274.69,450.66,87.86,75.89,45.81,7.04,513.08,68.35,13429.31,567.23,11,9.0,94.22,370.14,30.3,50.78,3.68,92.82,OP1003
PLT004,2023-01-03 04:00:00,528.38,203.97,957.85,376.25,447.1,81.08,88.12,41.9,7.16,508.22,71.46,11328.71,589.59,112,9.0,116.82,409.32,39.56,47.23,6.74,90.61,OP1003
PLT005,2023-01-03 05:00:00,481.79,210.31,1091.47,350.82,454.77,87.64,61.38,52.58,7.2,464.03,61.97,10816.86,501.5,33,7.0,89.4,521.07,29.77,55.43,5.68,93.45,OP1003
PLT003,2023-01-03 06:00:00,587.99,211.75,1026.23,291.11,462.0,89.15,71.78,53.78,7.02,637.49,54.9,9769.67,671.26,79,2.0,62.05,349.87,41.21,58.1,5.06,87.88,OP1004
PLT001,2023-01-03 07:00:00,505.81,195.26,1040.73,269.73,479.63,87.24,81.36,,6.72,472.86,71.98,14928.97,447.12,55,7.0,119.15,382.15,39.62,64.65,2.93,92.14,OP1003
PLT004,2023-01-03 08:00:00,494.89,251.89,980.11,210.99,426.79,90.96,74.29,47.32,7.05,597.5,80.66,10040.13,446.16,45,1.0,79.45,472.31,28.95,56.84,3.98,93.55,OP1004
PLT002,2023-01-03 09:00:00,482.39,238.92,990.03,257.11,465.42,81.08,66.72,60.67,7.06,633.27,63.24,10370.99,326.46,3,1.0,80.77,464.64,35.89,48.44,5.56,90.22,OP1003
PLT004,2023-01-03 10:00:00,432.01,206.76,1079.81,328.64,474.19,77.35,61.72,64.0,6.41,511.1,81.55,12245.09,443.06,77,1.0,111.44,355.03,35.55,54.47,5.57,91.62,OP1003
PLT002,2023-01-03 11:00:00,495.48,173.68,949.44,295.99,445.09,90.12,73.34,49.01,6.97,528.79,75.28,11303.86,706.2,15,8.0,107.04,452.22,26.77,46.14,8.22,93.54,OP1001
PLT002,2023-01-03 12:00:00,517.92,179.99,1232.06,308.02,427.14,85.28,84.61,46.11,6.97,429.17,61.45,13089.68,603.54,82,6.0,103.39,402.0,29.1,35.24,5.65,95.12,OP1003
PLT004,2023-01-03 13:00:00,494.1,194.62,940.99,317.04,438.44,85.08,78.84,57.06,6.33,392.83,65.2,9706.97,473.0,43,7.0,84.15,459.63,26.11,67.62,1.8,91.73,OP1002
PLT005,2023-01-03 14:00:00,511.56,198.08,939.13,286.83,449.61,92.07,83.39,43.87,7.18,403.95,77.13,12889.53,543.37,15,5.0,95.39,443.85,39.58,44.48,7.89,94.85,OP1001
PLT002,2023-01-03 15:00:00,466.47,183.48,1103.56,334.19,442.49,78.57,90.35,29.32,6.83,385.38,70.38,14667.24,528.92,89,5.0,100.8,450.99,41.03,56.1,4.48,83.62,OP1004
PLT002,2023-01-03 16:00:00,437.76,189.13,997.68,315.25,433.57,80.42,65.41,40.63,6.61,733.49,73.52,10139.15,501.43,65,1.0,100.55,406.41,44.31,64.67,8.43,88.77,OP1003
PLT004,2023-01-03 17:00:00,494.69,160.22,1059.91,294.3,465.14,91.9,76.71,63.65,6.95,536.86,70.63,14253.19,564.45,116,4.0,111.39,442.89,33.76,37.39,2.84,91.06,OP1003
PLT002,2023-01-03 18:00:00,511.03,156.77,1151.81,297.19,470.75,82.24,67.13,48.76,7.29,366.94,60.41,13213.92,597.33,17,0.0,70.52,391.66,39.71,44.29,5.99,94.37,OP1003
PLT002,2023-01-03 19:00:00,491.57,200.28,1040.69,333.55,439.03,80.55,74.42,61.87,6.16,368.77,73.48,10181.87,655.24,95,8.0,120.59,328.13,33.62,44.32,0.55,86.73,OP1002
PLT004,2023-01-03 20:00:00,510.18,231.85,1033.51,324.1,448.69,86.5,83.51,34.35,7.18,544.58,75.7,13114.6,551.3,84,2.0,94.23,412.05,37.96,60.31,4.95,90.94,OP1003
PLT004,2023-01-03 21:00:00,538.83,168.98,944.84,255.8,455.04,88.81,67.9,51.6,6.58,356.19,76.82,12326.31,343.9,101,8.0,59.19,408.86,32.49,48.06,5.99,101.6,OP1002
PLT001,2023-01-03 22:00:00,538.64,195.73,914.98,337.51,462.99,83.17,76.63,39.69,6.94,570.3,78.97,12396.9,447.26,38,7.0,130.82,369.51,30.43,67.45,5.11,90.74,OP1001
PLT005,2023-01-03 23:00:00,542.87,199.63,846.25,308.89,466.32,85.35,60.28,37.34,6.43,539.53,68.27,11983.24,502.88,9,1.0,83.81,387.19,42.46,28.87,6.03,85.66,OP1001
PLT005,2023-01-04 00:00:00,550.27,207.46,928.65,287.35,450.03,86.29,66.43,56.55,6.84,493.35,63.73,11427.81,552.3,33,6.0,76.44,381.78,27.96,70.95,5.5,87.34,OP1004
PLT002,2023-01-04 01:00:00,524.85,189.79,952.53,273.35,461.02,87.54,84.38,67.45,7.18,393.62,70.95,11181.81,704.11,38,1.0,130.61,396.96,29.38,45.46,7.03,98.41,OP1001
PLT005,2023-01-04 02:00:00,517.82,178.0,925.59,292.94,432.66,87.32,77.94,34.2,7.11,273.06,72.96,12439.48,586.57,80,9.0,97.64,398.52,32.78,38.12,3.93,85.89,OP1001
PLT002,2023-01-04 03:00:00,597.15,212.92,974.57,299.43,454.62,86.73,58.64,40.72,6.51,505.93,56.75,9307.46,498.1,48,0.0,73.46,458.26,34.39,53.12,2.94,82.04,OP1003
PLT001,2023-01-04 04:00:00,539.18,160.92,952.54,272.55,461.7,79.91,77.66,45.82,6.66,670.97,62.98,12459.47,649.93,26,0.0,91.89,477.87,34.54,38.32,7.62,82.27,OP1003
PLT004,2023-01-04 05:00:00,457.74,207.64,1084.33,309.5,429.45,84.05,69.07,49.01,6.56,520.16,74.04,11462.37,339.43,2,3.0,115.38,400.24,37.04,48.14,5.98,90.05,OP1004
PLT004,2023-01-04 06:00:00,406.85,183.92,868.99,264.46,422.85,79.52,58.42,46.39,6.23,288.22,62.55,14520.72,614.96,78,9.0,123.18,495.7,30.84,36.72,6.24,88.66,OP1001
PLT004,2023-01-04 07:00:00,487.94,204.88,1098.99,226.9,480.01,89.95,65.11,,7.2,357.75,67.55,10211.22,557.83,93,8.0,111.07,386.83,35.09,45.94,7.12,97.91,OP1004
PLT005,2023-01-04 08:00:00,531.24,223.21,1068.2,302.0,434.49,82.95,68.5,43.97,6.98,459.62,76.64,11261.84,395.35,16,2.0,82.39,368.65,36.48,56.1,3.15,86.87,OP1002
PLT001,2023-01-04 09:00:00,547.95,186.27,907.65,316.06,462.19,85.54,83.47,52.27,7.6,610.37,81.28,13100.6,364.32,70,5.0,131.08,343.89,41.47,48.72,8.3,88.25,OP1003
PLT005,2023-01-04 10:00:00,437.48,192.64,872.56,326.44,436.14,84.46,75.21,80.18,7.17,506.66,77.64,10946.41,616.79,75,7.0,100.0,297.52,25.67,45.06,6.0,82.86,OP1002
PLT005,2023-01-04 11:00:00,536.47,191.59,1056.06,335.48,458.85,82.33,66.66,33.9,7.36,600.13,71.64,11910.45,359.63,1,9.0,115.24,427.7,33.58,47.58,1.9,100.6,OP1003
PLT001,2023-01-04 12:00:00,556.73,245.57,1055.86,251.07,434.78,84.13,58.22,48.45,6.88,374.92,75.86,14347.89,466.91,82,8.0,102.77,384.53,24.44,54.79,2.52,87.53,OP1002
PLT001,2023-01-04 13:00:00,530.44,197.44,920.76,306.77,449.79,79.08,97.32,65.33,7.19,392.23,68.86,12458.25,555.94,28,2.0,135.13,508.57,32.07,46.2,5.59,91.96,OP1004
PLT001,2023-01-04 14:00:00,520.79,196.52,867.53,327.13,469.89,82.23,70.56,55.54,7.13,405.4,69.31,10014.51,437.56,52,8.0,125.59,423.43,30.75,45.83,7.75,92.87,OP1004
PLT001,2023-01-04 15:00:00,493.36,198.27,959.84,301.75,451.07,84.27,80.05,53.65,6.96,339.31,82.03,12008.13,528.92,97,3.0,89.91,361.55,39.39,61.4,2.81,90.86,OP1004
PLT004,2023-01-04 16:00:00,477.0,227.06,678.96,298.17,419.22,87.56,57.36,57.12,7.48,457.57,74.99,11893.82,662.1,0,7.0,90.04,389.93,35.39,76.21,4.45,87.19,OP1004
PLT003,2023-01-04 17:00:00,539.28,187.24,1054.61,314.64,447.08,80.57,63.46,44.25,6.99,641.78,72.97,12124.09,437.17,22,4.0,125.21,395.28,36.07,35.06,6.11,90.64,OP1002
PLT003,2023-01-04 18:00:00,529.17,215.87,936.73,333.34,444.53,92.59,67.5,50.13,7.6,551.98,64.39,13341.06,393.17,102,2.0,134.92,388.35,29.74,61.73,5.44,87.91,OP1002
PLT001,2023-01-04 19:00:00,483.64,184.82,1019.83,300.49,435.97,77.43,74.69,71.3,7.36,595.13,66.78,10526.17,532.7,49,4.0,89.85,399.93,38.49,50.42,1.0,89.2,OP1003
PLT003,2023-01-04 20:00:00,627.11,183.43,1179.24,308.49,445.26,90.57,67.84,49.34,6.89,340.75,82.97,11993.57,427.05,41,2.0,78.78,341.67,26.45,57.3,2.95,89.28,OP1003
PLT003,2023-01-04 21:00:00,424.51,207.42,960.7,279.27,465.53,79.64,89.31,57.05,7.1,264.32,77.56,12499.45,614.53,35,0.0,38.49,453.64,41.33,55.69,5.89,90.25,OP1004
PLT001,2023-01-04 22:00:00,488.39,224.28,1067.77,275.9,491.03,78.03,86.24,63.31,6.63,534.39,71.66,9581.97,641.05,32,9.0,77.01,432.9,36.32,48.95,10.76,87.93,OP1004
PLT003,2023-01-04 23:00:00,461.43,192.33,974.36,254.46,462.37,81.87,78.59,45.61,7.36,558.67,75.11,12125.92,422.64,43,1.0,102.79,417.06,41.23,58.43,7.44,82.01,OP1003
PLT005,2023-01-05 00:00:00,519.21,192.19,955.75,244.98,434.29,88.06,70.85,50.83,7.8,302.21,71.6,13087.14,486.15,28,4.0,126.04,407.96,26.97,39.21,5.21,85.54,OP1001
PLT002,2023-01-05 01:00:00,402.55,212.7,1152.73,316.65,431.08,76.03,67.79,50.69,7.0,511.8,64.0,12907.62,633.64,33,5.0,112.25,340.56,34.13,56.77,5.73,87.6,OP1003
PLT002,2023-01-05 02:00:00,563.46,199.79,,295.62,431.29,82.13,90.51,48.2,7.01,678.28,75.44,12763.99,429.78,105,7.0,127.47,412.06,29.36,39.59,1.72,85.85,OP1001
PLT001,2023-01-05 03:00:00,550.27,,1054.76,295.51,450.84,86.08,64.36,54.05,6.97,382.16,60.52,12643.23,465.31,28,0.0,86.18,431.23,35.16,31.58,3.94,87.5,OP1002
PLT004,2023-01-05 04:00:00,513.37,167.49,1031.54,321.49,450.71,83.01,72.05,46.11,6.92,482.68,77.04,12917.75,517.48,80,1.0,85.22,391.5,32.2,67.06,6.45,90.61,OP1001
PLT001,2023-01-05 05:00:00,484.48,179.21,1041.88,355.35,451.78,83.39,57.24,35.93,6.8,390.32,73.72,10217.12,416.65,108,7.0,106.62,387.01,36.01,64.51,6.23,100.26,OP1002
PLT004,2023-01-05 06:00:00,535.82,198.77,1062.63,302.92,448.33,87.43,72.3,,6.83,538.05,77.88,11861.07,445.06,48,8.0,113.69,436.46,27.52,47.64,4.67,86.83,OP1002
PLT002,2023-01-05 07:00:00,516.44,209.04,1051.69,263.96,435.3,89.38,87.81,46.21,6.89,418.07,64.9,12210.49,478.22,109,0.0,67.17,372.23,30.49,41.87,2.79,87.66,OP1001
PLT001,2023-01-05 08:00:00,547.6,197.4,943.59,301.92,440.08,83.57,66.93,54.75,7.05,724.84,66.11,14533.73,494.25,111,1.0,97.85,400.0,30.07,28.44,6.91,90.92,OP1003
PLT005,2023-01-05 09:00:00,493.88,201.6,956.85,325.87,446.82,86.71,99.21,39.98,7.24,468.28,72.32,12840.82,483.37,69,3.0,67.03,361.58,36.46,60.87,3.27,85.38,OP1001
PLT003,2023-01-05 10:00:00,490.93,212.13,1027.51,247.67,469.63,88.06,89.55,73.24,6.81,452.69,66.62,10853.98,408.48,102,7.0,93.88,414.36,34.37,40.28,5.87,89.59,OP1003
PLT004,2023-01-05 11:00:00,553.89,175.07,814.52,335.61,438.83,78.97,65.82,37.7,6.91,353.82,66.24,11055.68,430.5,101,0.0,111.07,454.35,42.07,49.95,5.9,94.41,OP1002
PLT003,2023-01-05 12:00:00,531.68,212.13,1036.63,272.46,445.81,84.47,62.18,62.44,7.46,405.07,80.02,11724.39,694.02,50,0.0,128.53,352.33,45.5,64.81,7.08,90.44,OP1002
PLT003,2023-01-05 13:00:00,491.3,221.01,942.35,342.61,476.32,76.58,67.03,60.24,7.0,367.07,76.56,8374.21,399.65,36,3.0,109.46,421.54,33.23,61.86,3.96,82.91,OP1003
PLT001,2023-01-05 14:00:00,518.39,193.14,1104.43,295.85,457.56,92.01,71.13,34.81,6.56,574.12,77.11,11908.09,451.49,28,0.0,76.83,391.99,26.49,49.96,5.87,94.27,OP1004
PLT003,2023-01-05 15:00:00,509.24,182.78,803.9,271.69,443.6,89.7,63.34,51.2,7.14,512.56,56.91,12686.96,696.81,37,6.0,111.91,462.89,32.1,54.47,6.49,97.66,OP1004
PLT005,2023-01-05 16:00:00,523.36,217.78,1046.43,316.86,430.25,82.41,93.82,43.37,7.16,561.17,67.88,10362.48,368.28,68,1.0,61.32,344.56,37.07,49.16,3.21,91.92,OP1003
PLT003,2023-01-05 17:00:00,563.47,234.39,1027.06,279.31,469.5,86.41,78.82,41.02,6.77,527.51,59.46,11360.55,585.81,36,1.0,98.21,424.31,38.24,53.77,10.74,96.05,OP1002
PLT001,2023-01-05 18:00:00,482.51,202.96,1015.49,229.67,452.96,71.72,76.39,56.8,7.05,609.11,71.99,13550.73,595.76,52,0.0,108.19,382.19,39.52,62.67,9.08,90.4,OP1004
PLT005,2023-01-05 19:00:00,467.77,182.34,1131.98,291.74,453.46,93.37,79.9,44.62,6.38,506.1,75.57,10875.8,475.91,72,1.0,96.4,374.4,20.41,61.87,5.05,83.24,OP1002
PLT002,2023-01-05 20:00:00,513.69,199.88,1001.53,349.5,462.03,81.55,62.41,52.47,6.77,360.39,78.71,10109.44,441.66,63,0.0,95.69,386.49,40.72,48.37,6.53,87.08,OP1001
PLT003,2023-01-05 21:00:00,473.17,183.33,1025.24,276.42,450.83,88.18,70.68,,6.71,347.7,80.68,14093.67,661.62,46,8.0,72.42,466.39,42.28,45.73,2.58,93.75,OP1003
PLT001,2023-01-05 22:00:00,454.45,214.32,878.08,248.4,441.9,79.29,81.69,38.71,6.58,546.48,69.88,13736.61,437.07,41,3.0,103.85,389.06,26.95,59.18,8.08,98.03,OP1001
PLT002,2023-01-05 23:00:00,549.68,198.99,1012.84,267.95,456.2,92.97,66.25,55.88,7.19,318.6,80.69,11363.92,425.08,14,8.0,110.14,416.65,36.89,65.71,2.53,95.97,OP1003
PLT002,2023-01-06 00:00:00,485.64,181.44,974.37,282.36,430.71,85.52,81.62,48.19,6.95,501.3,58.38,13443.61,713.05,48,1.0,97.1,504.93,34.45,58.04,0.59,101.17,OP1002
PLT004,2023-01-06 01:00:00,406.6,203.99,972.83,345.29,433.73,73.72,80.93,65.4,7.01,515.51,70.02,13223.36,572.87,95,8.0,84.99,435.12,30.73,59.57,7.93,92.59,OP1001
PLT005,2023-01-06 02:00:00,542.37,186.89,840.21,247.45,455.26,86.83,81.61,59.52,6.97,494.29,82.51,9079.02,482.75,34,6.0,116.2,358.75,38.55,71.11,3.97,89.41,OP1002
PLT003,2023-01-06 03:00:00,478.09,173.7,1172.96,290.45,477.71,85.2,79.18,54.04,6.84,393.25,72.43,13636.94,471.08,20,0.0,104.67,463.91,45.87,47.18,6.2,99.47,OP1004
PLT001,2023-01-06 04:00:00,528.89,215.19,904.45,260.27,463.58,79.9,75.65,54.11,6.83,471.25,57.48,13244.13,538.54,3,5.0,124.45,409.44,28.35,30.04,2.66,94.89,OP1003
PLT004,2023-01-06 05:00:00,554.17,205.97,970.72,313.83,438.09,88.2,74.95,57.64,6.98,369.64,65.33,10288.79,461.88,60,4.0,88.75,303.72,40.96,33.29,5.33,88.85,OP1003
